"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"6867",6867,"Boomerang",1992,118,42000000,5.1,3530,0,0,1,0,0,1,0
"6878",6878,"Boot, Das",1981,216,14000000,8.5,28920,0,0,0,1,0,0,0
"6967",6967,"Born on the Fourth of July",1989,145,14000000,7,11480,0,0,0,1,0,0,0
"6988",6988,"Borrowers, The",1997,89,29000000,5.6,1457,0,0,1,0,0,0,0
"7024",7024,"Bottle Rocket",1996,92,7000000,7.4,7286,0,0,1,0,0,1,0
"7057",7057,"Bounce",2000,106,35000000,5.8,5390,0,0,0,1,0,1,0
"7061",7061,"Bound",1996,109,4500000,7.5,11911,0,0,0,0,0,1,0
"7064",7064,"Bound by Honor",1993,190,35000000,7.4,2499,1,0,0,1,0,0,0
"7079",7079,"Bourne Identity, The",2002,119,75000000,7.3,29871,1,0,0,1,0,0,0
"7080",7080,"Bourne Supremacy, The",2004,108,75000000,7.3,19878,1,0,0,1,0,0,0
"7101",7101,"Bowfinger",1999,97,55000000,6.4,15000,0,0,1,0,0,0,0
"7104",7104,"Bowling for Columbine",2002,120,4000000,8.5,36747,0,0,1,1,1,0,0
"7174",7174,"Boys Don't Cry",1999,118,2000000,7.6,14456,0,0,0,1,0,0,0
"7188",7188,"Boys and Girls",2000,94,16000000,4.9,3483,0,0,1,1,0,1,0
"7190",7190,"Boys from Brazil, The",1978,123,12000000,6.8,2826,0,0,0,1,0,0,0
"7204",7204,"Boys on the Side",1995,115,21000000,6.1,2775,0,0,1,1,0,0,0
"7211",7211,"Boyz n the Hood",1991,107,6000000,7.7,10319,0,0,0,1,0,0,0
"7217",7217,"Brady Bunch Movie, The",1995,90,12000000,5.6,4636,0,0,1,0,0,0,0
"7229",7229,"Braindead",1992,97,3000000,7.5,11552,0,0,1,0,0,1,0
"7234",7234,"Brainstorm",1983,106,15000000,6.2,1956,0,0,0,0,0,0,0
"7288",7288,"Braveheart",1995,177,53000000,8.3,92437,1,0,0,1,0,0,0
"7293",7293,"Brazil",1985,94,15000000,8,30735,0,0,1,0,0,0,0
"7308",7308,"Breakdown",1997,95,36000000,6.7,7099,1,0,0,0,0,0,0
"7313",7313,"Breakfast at Tiffany's",1961,115,2500000,7.7,12246,0,0,1,1,0,1,0
"7317",7317,"Breakfast of Champions",1999,110,12000000,4.2,2250,0,0,1,0,0,0,0
"7392",7392,"Bride & Prejudice",2004,122,7000000,6.3,1503,0,0,1,0,0,1,0
"7403",7403,"Bride of Chucky",1998,89,25000000,5.2,4449,0,0,1,0,0,0,0
"7404",7404,"Bride of Frankenstein",1935,75,397000,8.1,4734,0,0,0,1,0,0,0
"7422",7422,"Bridge Too Far, A",1977,176,26000000,7,5527,1,0,0,1,0,0,0
"7427",7427,"Bridge on the River Kwai, The",1957,161,3000000,8.4,22408,0,0,0,1,0,0,0
"7433",7433,"Bridges of Madison County, The",1995,135,22000000,6.9,7633,0,0,0,1,0,1,0
"7436",7436,"Bridget Jones's Diary",2001,97,26000000,7,24791,0,0,1,0,0,1,0
"7437",7437,"Bridget Jones: The Edge of Reason",2004,108,70000000,5.7,6636,0,0,1,1,0,1,0
"7451",7451,"Brigadoon",1954,108,2352625,6.8,1286,0,0,0,0,0,1,0
"7481",7481,"Bring It On",2000,98,10000000,6.1,11784,0,0,1,0,0,0,0
"7482",7482,"Bring Me the Head of Alfredo Garcia",1974,112,1500000,7.1,1163,0,0,0,1,0,0,0
"7490",7490,"Bringing Down the House",2003,105,35000000,5.6,6501,0,0,1,0,0,0,0
"7491",7491,"Bringing Out the Dead",1999,121,32000000,6.7,13989,0,0,0,1,0,0,0
"7513",7513,"Broadway Danny Rose",1984,84,8000000,7.3,2661,0,0,1,0,0,0,0
"7541",7541,"Broken Arrow",1996,108,65000000,5.7,14415,1,0,0,0,0,0,0
"7553",7553,"Broken Hearts Club: A Romantic Comedy, The",2000,94,1000000,6.8,1712,0,0,1,1,0,0,0
"7580",7580,"Bronx Tale, A",1993,121,22000000,7.5,9175,0,0,0,1,0,0,0
"7597",7597,"Brother",2000,114,12000000,7.1,4322,0,0,0,0,0,0,0
"7608",7608,"Brother from Another Planet, The",1984,106,300000,6.7,1133,0,0,1,1,0,0,0
"7620",7620,"Brothers McMullen, The",1995,98,23800,6.4,2325,0,0,1,1,0,0,0
"7630",7630,"Brown Bunny, The",2003,119,10000000,5.1,1045,0,0,0,1,0,0,0
"7639",7639,"Bruce Almighty",2003,101,81000000,6.4,23905,0,0,1,0,0,1,0
"7691",7691,"Bubba Ho-tep",2002,92,1000000,7.5,7142,0,0,1,0,0,0,0
"7694",7694,"Bubble Boy",2001,84,13000000,5.1,2904,0,0,1,1,0,1,0
"7760",7760,"Buffalo '66",1998,110,1500000,7.2,6652,0,0,1,1,0,0,0
"7770",7770,"Buffalo Soldiers",2001,98,15000000,7,3753,0,0,1,1,0,0,0
"7781",7781,"Bug's Life, A",1998,96,45000000,7.4,23184,0,1,1,0,0,0,0
"7796",7796,"Bugsy",1991,134,40000000,6.6,4159,0,0,0,1,0,0,0
"7813",7813,"Bull Durham",1988,108,7000000,7.1,8434,0,0,1,1,0,1,0
"7842",7842,"Bulletproof Monk",2003,104,52000000,5.2,5405,1,0,1,0,0,0,0
"7843",7843,"Bullets Over Broadway",1994,98,20000000,7.4,6685,0,0,1,0,0,1,0
"7850",7850,"Bullitt",1968,113,5500000,7.3,6191,1,0,0,1,0,0,0
"7861",7861,"Bulworth",1998,108,30000000,6.9,8277,0,0,1,1,0,1,0
"7897",7897,"Buono, il brutto, il cattivo, Il",1966,180,1200000,8.8,30224,1,0,0,1,0,0,0
"8007",8007,"But I'm a Cheerleader",1999,85,1200000,6.2,3897,0,0,1,1,0,1,0
"8027",8027,"Butterfly Effect, The",2004,120,13000000,7.6,22975,0,0,0,1,0,0,0
"8078",8078,"C'era una volta il West",1968,158,5000000,8.7,17241,0,0,0,1,0,0,0
"8106",8106,"CQ",2001,91,7000000,6.4,1315,0,0,1,1,0,0,0
"8117",8117,"Cabaret",1972,124,6000000,7.8,7176,0,0,0,1,0,0,0
"8125",8125,"Cabin Fever",2002,93,1500000,5.1,7776,0,0,0,0,0,0,0
"8133",8133,"Cable Guy, The",1996,96,47000000,5.5,16266,0,0,1,1,0,0,0
"8167",8167,"Caddyshack",1980,98,6000000,7.1,13453,0,0,1,0,0,0,0
"8345",8345,"Camelot",1967,179,17000000,6.1,1241,0,0,1,1,0,1,0
"8419",8419,"Can't Hardly Wait",1998,101,10000000,6.2,8191,0,0,1,0,0,1,0
"8431",8431,"Canadian Bacon",1995,91,11000000,5.5,3514,0,0,1,0,0,0,0
"8463",8463,"Candyman",1992,99,8000000,6.3,4735,0,0,0,1,0,0,0
"8520",8520,"Cape Fear",1991,128,35000000,7.1,15585,0,0,0,1,0,0,0
"8553",8553,"Capricorn One",1978,123,5000000,6.4,2591,0,0,0,1,0,0,0
"8558",8558,"Captain Blood",1935,99,1200000,7.7,1683,1,0,0,0,0,1,0
"8563",8563,"Captain Corelli's Mandolin",2001,131,57000000,5.9,5281,0,0,0,1,0,1,0
"8599",8599,"Captains Courageous",1937,115,1645000,7.7,1123,0,0,0,1,0,0,0
"8649",8649,"Carandiru",2003,147,6000000,7.7,1608,0,0,0,1,0,0,0
"8759",8759,"Carnival of Souls",1962,84,30000,7,1819,0,0,0,0,0,0,0
"8788",8788,"Carrie",1976,98,1800000,7.2,11778,0,0,0,1,0,0,0
"8882",8882,"Casablanca",1942,102,950000,8.8,66030,0,0,0,1,0,1,0
"8933",8933,"Casino",1995,176,52000000,7.8,27234,0,0,0,1,0,0,0
"8935",8935,"Casino Royale",1967,131,12000000,5.3,4173,1,0,1,0,0,0,0
"8944",8944,"Casper",1995,100,55000000,5.6,8798,0,0,1,0,0,0,0
"8953",8953,"Casshern",2004,141,5000000,6.5,1237,1,0,0,1,0,0,0
"8956",8956,"Cast Away",2000,143,90000000,7.3,34580,0,0,0,1,0,0,0
"8980",8980,"Casualties of War",1989,113,22500000,6.8,4459,0,0,0,1,0,0,0
"8999",8999,"Cat People",1942,73,134000,7.4,1239,0,0,0,0,0,1,0
"9000",9000,"Cat People",1982,118,18000000,5.8,2862,0,0,0,1,0,0,0
"9011",9011,"Cat in the Hat, The",2003,82,109000000,3.2,4997,0,0,1,0,0,0,0
"9012",9012,"Cat on a Hot Tin Roof",1958,108,3000000,7.8,4870,0,0,0,1,0,0,0
"9016",9016,"Cat's Eye",1985,94,7000000,5.7,2301,0,0,1,0,0,0,0
"9033",9033,"Catch Me If You Can",2002,141,52000000,7.6,39915,0,0,0,1,0,0,0
"9060",9060,"Cats & Dogs",2001,87,60000000,5.4,6487,0,0,1,0,0,0,0
"9082",9082,"Catwoman",2004,104,85000000,3.4,8815,1,0,0,0,0,0,0
"9146",9146,"Cecil B. DeMented",2000,87,10000000,6,3464,0,0,1,0,0,0,0
"9156",9156,"Celebrity",1998,113,12000000,6.1,4820,0,0,1,0,0,0,0
"9160",9160,"Cell, The",2000,109,33000000,6.1,16118,0,0,0,0,0,0,0
"9168",9168,"Cellular",2004,94,25000000,6.4,6182,1,0,0,0,0,0,0
"9209",9209,"Central do Brasil",1998,108,2900000,7.9,8980,0,0,0,1,0,0,0
"9260",9260,"Chacun cherche son chat",1996,91,300000,7,1105,0,0,1,0,0,1,0
"9273",9273,"Chain Reaction",1996,106,55000000,5.1,5936,1,0,0,1,0,0,0
"9313",9313,"Chamber, The",1996,113,50000000,5.7,2540,0,0,0,1,0,0,0
"9375",9375,"Changing Lanes",2002,99,45000000,6.6,12779,0,0,0,1,0,0,0
"9406",9406,"Charade",1963,113,4000000,8.1,9046,0,0,1,0,0,1,0
"9416",9416,"Chariots of Fire",1981,123,5500000,7.3,6666,0,0,0,1,0,0,0
"9474",9474,"Charlie's Angels",2000,94,92000000,5.8,25705,1,0,1,0,0,0,0
"9475",9475,"Charlie's Angels: Full Throttle",2003,107,120000000,5,13990,1,0,1,0,0,0,0
"9512",9512,"Chasing Amy",1997,111,250000,7.6,32141,0,0,1,1,0,1,0
"9520",9520,"Chasing Liberty",2004,111,23000000,5.7,1911,0,0,1,0,0,1,0
"9565",9565,"Cheaper by the Dozen",2003,98,40000000,5.8,5977,0,0,1,1,0,0,0
"9652",9652,"Cherry Falls",2000,92,14000000,4.9,2165,0,0,1,0,0,0,0
"9694",9694,"Chicago",2002,113,45000000,7.5,34933,0,0,1,1,0,0,0
"9720",9720,"Chicken Run",2000,84,42000000,7.4,25099,0,1,1,0,0,0,0
"9771",9771,"Child's Play",1988,87,19000000,5.9,4250,0,0,0,0,0,0,0
"9772",9772,"Child's Play 2",1990,84,13000000,4.5,2327,0,0,1,0,0,0,0
"9793",9793,"Children of the Corn",1984,93,3000000,4.9,3562,0,0,0,0,0,0,0
"9802",9802,"Children's Hour, The",1961,107,3600000,7.3,1089,0,0,0,1,0,0,0
"9814",9814,"Chill Factor",1999,101,34000000,5,2542,1,0,1,0,0,0,0
"9854",9854,"Chinatown",1974,131,6000000,8.4,25695,0,0,0,1,0,0,0
"9893",9893,"Chitty Chitty Bang Bang",1968,144,10000000,6.3,3200,0,0,1,0,0,0,0
"9975",9975,"Christine",1983,110,9700000,6,5666,0,0,0,1,0,0,0
"10002",10002,"Christmas with the Kranks",2004,98,60000000,4.5,1520,0,0,1,0,0,0,0
"10014",10014,"Chronicles of Riddick, The",2004,135,110000000,6.2,11438,1,0,0,0,0,0,0
"10031",10031,"Chuck&Buck",2000,96,250000,6.6,1919,0,0,1,1,0,0,0
"10091",10091,"Cidade de Deus",2002,135,3300000,8.7,25964,0,0,0,1,0,0,0
"10092",10092,"Cider House Rules, The",1999,126,24000000,7.5,18950,0,0,0,1,0,1,0
"10125",10125,"Cinderella",1950,74,2900000,7.3,5596,0,1,0,0,0,0,0
"10131",10131,"Cinderella Story, A",2004,95,20000000,4.9,2755,0,0,1,0,0,1,0
"10188",10188,"Circus, The",1928,71,900000,7.8,1239,0,0,1,1,0,1,0
"10210",10210,"Citizen Kane",1941,119,686033,8.7,61083,0,0,0,1,0,0,0
"10212",10212,"Citizen Ruth",1996,102,3000000,6.8,1441,0,0,1,1,0,0,0
"10224",10224,"City Hall",1996,111,40000000,6.1,4381,0,0,0,1,0,0,0
"10228",10228,"City Lights",1931,87,1500000,8.5,7802,0,0,1,1,0,1,0
"10241",10241,"City by the Sea",2002,108,60000000,6.3,4886,0,0,0,1,0,0,0
"10244",10244,"City of Angels",1998,114,55000000,6.2,15333,0,0,0,1,0,1,0
"10251",10251,"City of Industry",1997,97,8000000,5.9,1262,0,0,0,0,0,0,0
"10269",10269,"Civil Action, A",1998,112,60000000,6.4,6847,0,0,0,1,0,0,0
"10307",10307,"Clash of the Titans",1981,118,15000000,6.3,3860,1,0,0,0,0,1,0
"10346",10346,"Clay Pigeons",1998,104,8000000,6.4,2658,0,0,1,1,0,0,0
"10358",10358,"Clear and Present Danger",1994,141,65000000,6.8,13025,1,0,0,1,0,0,0
"10369",10369,"Cleopatra",1963,320,44000000,6.6,2612,0,0,0,1,0,1,0
"10374",10374,"Clerks.",1994,92,230000,7.9,39927,0,0,1,1,0,0,0
"10380",10380,"Cliffhanger",1993,112,65000000,6,12434,1,0,0,0,0,0,0
"10408",10408,"Clockers",1995,129,25000000,6.8,3099,0,0,0,1,0,0,0
"10409",10409,"Clockstoppers",2002,94,26000000,5.1,2555,0,0,0,0,0,0,0
"10414",10414,"Clockwork Orange, A",1971,137,2200000,8.3,65283,0,0,0,1,0,0,0
"10422",10422,"Close Encounters of the Third Kind",1977,137,20000000,7.7,26304,0,0,0,1,0,0,0
"10456",10456,"Club Dread",2004,119,9000000,5.2,3432,0,0,1,0,0,0,0
"10475",10475,"Clue",1985,97,15000000,6.7,8767,0,0,1,0,0,0,0
"10477",10477,"Clueless",1995,97,20000000,6.7,16521,0,0,1,0,0,1,0
"10484",10484,"Coach Carter",2005,136,30000000,6.6,1636,0,0,0,1,0,0,0
"10539",10539,"Code 46",2003,92,7500000,6.4,2094,0,0,0,1,0,1,0
"10602",10602,"Cold Mountain",2003,152,83000000,7.4,15712,0,0,0,1,0,1,0
"10625",10625,"Collateral",2004,120,65000000,7.7,24499,0,0,0,1,0,0,0
"10626",10626,"Collateral Damage",2002,108,85000000,5.2,8590,1,0,0,0,0,0,0
"10664",10664,"Color Purple, The",1985,154,15000000,7.6,10599,0,0,0,1,0,0,0
"10667",10667,"Color of Money, The",1986,119,10000000,6.8,9095,0,0,0,1,0,0,0
"10668",10668,"Color of Night",1994,133,40000000,4.7,4646,0,0,0,1,0,1,0
"10803",10803,"Coming to America",1988,116,28000000,6.6,13103,0,0,1,0,0,1,0
"10875",10875,"Company of Wolves, The",1984,95,2000000,6.4,1846,0,0,0,0,0,0,0
"10876",10876,"Company, The",2003,112,15000000,6.2,1505,0,0,0,1,0,0,0
"10908",10908,"Comunidad, La",2000,110,2000000,7.2,1270,0,0,1,0,0,0,0
"10909",10909,"Con Air",1997,115,75000000,6.3,26642,1,0,0,0,0,0,0
"10914",10914,"Conan the Barbarian",1982,129,20000000,6.5,13624,1,0,0,0,0,0,0
"10966",10966,"Confessions of a Dangerous Mind",2002,113,29000000,7.1,11487,0,0,0,1,0,0,0
"10976",10976,"Confessions of a Teenage Drama Queen",2004,89,15000000,4.4,2205,0,0,1,0,0,0,0
"10984",10984,"Confidence",2003,97,15000000,6.8,6168,0,0,0,1,0,0,0
"10999",10999,"Conformista, Il",1970,115,750000,7.7,1348,0,0,0,1,0,0,0
"11005",11005,"Congo",1995,109,50000000,4.4,8058,1,0,0,0,0,0,0
"11026",11026,"Conquest of the Planet of the Apes",1972,88,1700000,5.5,2255,1,0,0,0,0,0,0
"11047",11047,"Conspiracy Theory",1997,135,75000000,6.4,15470,0,0,0,1,0,1,0
"11057",11057,"Constantine",2005,121,100000000,6.4,11633,1,0,0,1,0,0,0
"11063",11063,"Contact",1997,153,90000000,7.3,36390,0,0,0,1,0,0,0
"11073",11073,"Contender, The",2000,126,9000000,6.9,7023,0,0,0,1,0,0,0
"11105",11105,"Conversation, The",1974,113,1600000,8.1,10260,0,0,0,1,0,0,0
"11146",11146,"Cool as Ice",1991,100,6000000,2.4,1280,0,0,1,1,0,1,0
"11158",11158,"Cop Land",1997,116,15000000,6.7,12677,0,0,0,1,0,0,0
"11187",11187,"Copycat",1995,123,20000000,6.5,7804,0,0,0,1,0,0,0
"11202",11202,"Core, The",2003,135,74000000,5.4,7860,1,0,0,1,0,0,0
"11208",11208,"Corky Romano",2001,86,11000000,4.6,2463,0,0,1,0,0,0,0
"11306",11306,"Cotton Club, The",1984,127,47000000,6.2,2663,0,0,0,1,0,0,0
"11328",11328,"Count of Monte Cristo, The",2002,134,35000000,7.4,13907,1,0,0,1,0,0,0
"11382",11382,"Courage Under Fire",1996,117,46000000,6.7,8884,1,0,0,1,0,0,0
"11450",11450,"Cowboys, The",1972,128,6000000,6.9,1316,0,0,0,0,0,0,0
"11459",11459,"Coyote Ugly",2000,100,45000000,5.4,13221,0,0,1,1,0,1,0
"11490",11490,"Cradle 2 the Grave",2003,101,25000000,5.3,4164,1,0,0,0,0,0,0
"11491",11491,"Cradle Will Rock",1999,132,32000000,6.7,3375,0,0,0,1,0,0,0
"11492",11492,"Craft, The",1996,101,15000000,5.9,9187,0,0,1,1,0,0,0
"11499",11499,"Crash",2004,113,6500000,8.3,1660,0,0,0,1,0,0,0
"11550",11550,"Crazy in Alabama",1999,111,15000000,6.1,2086,0,0,1,1,0,0,0
"11553",11553,"Crazy/Beautiful",2001,135,14000000,6.5,4503,0,0,0,1,0,1,0
"11584",11584,"Creepshow",1982,120,8000000,6,3687,0,0,1,0,0,0,0
"11585",11585,"Creepshow 2",1987,92,3500000,4.9,1524,0,0,1,0,0,0,0
"11595",11595,"Crew, The",2000,84,23000000,5.3,1297,0,0,1,0,0,0,0
"11639",11639,"Crimen del padre Amaro, El",2002,118,1800000,7,2469,0,0,0,1,0,1,0
"11641",11641,"Crimes and Misdemeanors",1989,104,19000000,7.9,7302,0,0,1,1,0,0,0
"11670",11670,"Crimson Tide",1995,116,53000000,7.1,14033,1,0,0,1,0,0,0
"11692",11692,"Critters",1986,82,2000000,5.3,2219,0,0,1,0,0,0,0
"11693",11693,"Critters 2: The Main Course",1988,93,4500000,4.2,1074,0,0,1,0,0,0,0
"11705",11705,"Crocodile Dundee in Los Angeles",2001,92,25000000,4.7,2698,0,0,1,1,0,0,0
"11706",11706,"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,1648,0,0,1,0,0,0,0
"11723",11723,"Crooklyn",1994,115,14000000,6.2,1112,0,0,1,1,0,0,0
"11743",11743,"Cross of Iron",1977,119,6000000,7.3,2587,1,0,0,1,0,0,0
"11765",11765,"Crossroads",2002,93,12000000,3.1,8546,0,0,1,1,0,1,0
"11774",11774,"Crow, The",1994,98,15000000,7.2,20290,1,0,0,0,0,0,0
"11775",11775,"Crow: City of Angels, The",1996,84,13000000,3.8,3656,1,0,0,0,0,0,0
"11776",11776,"Crow: Salvation, The",2000,102,25000000,4.9,1383,1,0,0,1,0,0,0
"11787",11787,"Cruel Intentions",1999,97,11000000,6.5,25634,0,0,0,1,0,1,0
"11843",11843,"Cry-Baby",1990,85,11000000,6,4136,0,0,1,0,0,1,0
"11903",11903,"Cujo",1983,93,5000000,5.4,2922,0,0,0,0,0,0,0
"11951",11951,"Curly Sue",1991,101,30000000,4.7,2097,0,0,1,1,0,0,0
"11972",11972,"Curse of the Jade Scorpion, The",2001,103,26000000,6.8,5846,0,0,1,1,0,0,0
"11982",11982,"Cursed",2005,97,35000000,4.7,1277,0,0,0,0,0,0,0
"12006",12006,"Cutthroat Island",1995,119,92000000,5.1,3942,1,0,0,0,0,1,0
"12027",12027,"Cyborg",1989,86,2000000,3.8,2320,1,0,0,0,0,0,0
"12047",12047,"Cypher",2002,95,7500000,7.2,3160,1,0,0,0,0,0,0
"12067",12067,"D-Tox",2002,92,55000000,4.7,2742,0,0,0,1,0,0,0
"12124",12124,"Daddy Day Care",2003,92,60000000,5.7,3803,0,0,1,0,0,0,0
"12167",12167,"Dagon",2001,97,4800000,6,1549,0,0,0,0,0,0,0
"12296",12296,"Dances with Wolves",1990,236,19000000,7.8,28561,0,0,0,1,0,0,0
"12368",12368,"Dangerous Liaisons",1988,119,14000000,7.6,12559,0,0,0,1,0,1,0
"12369",12369,"Dangerous Lives of Altar Boys, The",2002,105,12000000,7.2,3274,0,0,0,1,0,0,0
"12429",12429,"Dante's Peak",1997,104,104000000,5.6,9203,1,0,0,1,0,0,0
"12443",12443,"Daredevil",2003,133,75000000,5.7,20642,1,0,0,0,0,0,0
"12462",12462,"Dark Blue",2002,118,15000000,6.6,3882,1,0,0,1,0,0,0
"12467",12467,"Dark City",1998,100,27000000,7.6,23508,0,0,0,0,0,0,0
"12471",12471,"Dark Crystal, The",1982,93,15000000,6.9,6531,0,0,0,0,0,0,0
"12479",12479,"Dark Half, The",1993,122,15000000,5.5,1757,0,0,0,0,0,0,0
"12514",12514,"Dark Star",1974,83,60000,6.6,3527,0,0,1,0,0,0,0
"12541",12541,"Darkman",1990,96,16000000,6.1,6130,1,0,0,0,0,0,0
"12544",12544,"Darkness Falls",2003,86,11000000,4.5,4928,0,0,0,0,0,0,0
"12637",12637,"Dawn of the Dead",1978,139,1500000,7.7,12621,1,0,0,1,0,0,0
"12638",12638,"Dawn of the Dead",2004,109,28000000,7.4,16283,1,0,0,1,0,0,0
"12647",12647,"Day After Tomorrow, The",2004,124,125000000,6.3,23749,1,0,0,1,0,0,0
"12679",12679,"Day of the Dead",1985,97,3500000,6.5,5053,0,0,0,1,0,0,0
"12694",12694,"Day the Earth Stood Still, The",1951,85,960000,8.1,10148,0,0,0,1,0,0,0
"12715",12715,"Daylight",1996,110,80000000,5.4,6979,1,0,0,1,0,0,0
"12722",12722,"Days of Thunder",1990,107,60000000,5.4,9660,1,0,0,1,0,1,0
"12793",12793,"Dead Man",1995,120,9000000,7.6,10097,0,0,0,0,0,0,0
"12795",12795,"Dead Man Walking",1995,122,11000000,7.6,16177,0,0,0,1,0,0,0
"12796",12796,"Dead Man on Campus",1998,96,14000000,5.4,2829,0,0,1,0,0,0,0
"12797",12797,"Dead Man's Curve",1998,90,1000000,5.7,1241,0,0,1,1,0,0,0
"12817",12817,"Dead Poets Society",1989,128,16400000,7.7,43294,0,0,0,1,0,0,0
"12819",12819,"Dead Presidents",1995,119,15000000,6.3,2641,1,0,0,1,0,0,0
"12834",12834,"Dead Zone, The",1983,103,10000000,7.2,6338,0,0,0,1,0,0,0
"12969",12969,"Death Becomes Her",1992,99,55000000,5.6,9887,0,0,1,0,0,0,0
"13000",13000,"Death Race 2000",1975,79,300000,5.8,2909,1,0,0,0,0,0,0
"13051",13051,"Death to Smoochy",2002,109,55000000,6.3,8003,0,0,1,0,0,0,0
"13114",13114,"Deconstructing Harry",1997,96,20000000,7.1,7342,0,0,1,0,0,0,0
"13125",13125,"Deep Blue Sea",1999,105,78000000,5.5,17666,1,0,0,0,0,0,0
"13135",13135,"Deep End of the Ocean, The",1999,106,40000000,5.9,2890,0,0,0,1,0,0,0
"13136",13136,"Deep End, The",2001,101,3000000,6.8,3524,0,0,0,1,0,0,0
"13138",13138,"Deep Impact",1998,120,75000000,5.9,22684,0,0,0,1,0,0,0
"13142",13142,"Deep Rising",1998,97,45000000,5.4,4626,1,0,0,0,0,0,0
"13146",13146,"Deep Throat",1972,67,22000,5.1,1097,0,0,0,0,0,0,0
"13152",13152,"Deep, The",1977,123,9000000,5.8,1565,0,0,0,0,0,0,0
"13155",13155,"Deer Hunter, The",1978,183,15000000,8.1,28210,0,0,0,1,0,0,0
"13221",13221,"Deliverance",1972,109,2000000,7.8,14417,0,0,0,1,0,0,0
"13230",13230,"Dellamorte Dellamore",1994,105,4000000,7.3,2313,0,0,1,0,0,1,0
"13274",13274,"Demon Knight",1995,92,12000000,6,2215,0,0,0,0,0,0,0
"13283",13283,"Demoni",1985,88,1800000,5.7,1188,0,0,0,0,0,0,0
"13342",13342,"Derailed",2002,89,18000000,3.4,1075,1,0,0,0,0,0,0
"13371",13371,"Dersu Uzala",1975,141,4000000,8.1,2565,0,0,0,1,0,0,0
"13464",13464,"Desperado",1995,106,7000000,6.8,17929,1,0,0,0,0,0,0
"13479",13479,"Desperate Hours, The",1955,112,2388000,7.4,1082,0,0,0,1,0,0,0
"13493",13493,"Desperately Seeking Susan",1985,104,4500000,5.6,4853,0,0,1,1,0,1,0
"13555",13555,"Detour",1945,67,30000,7.3,1114,0,0,0,1,0,0,0
"13560",13560,"Detroit Rock City",1999,95,15000000,6,4607,0,0,1,0,0,0,0
"13563",13563,"Deuce Bigalow: Male Gigolo",1999,88,18000000,5.6,9897,0,0,1,0,0,0,0
"13566",13566,"Deuces Wild",2002,100,10000000,5.3,1511,1,0,0,1,0,0,0
"13645",13645,"Devil's Advocate, The",1997,144,57000000,7,26904,0,0,0,1,0,0,0
"13665",13665,"Devil's Own, The",1997,111,80000000,5.7,8485,1,0,0,1,0,0,0
"13741",13741,"Dial M for Murder",1954,105,1400000,7.8,7989,0,0,0,0,0,0,0
"13762",13762,"Diamonds Are Forever",1971,120,7200000,6.6,8738,1,0,0,0,0,0,0
"13806",13806,"Dick",1999,94,13000000,6.3,5004,0,0,1,0,0,0,0
"13810",13810,"Dick Tracy",1990,105,47000000,5.7,9939,1,0,1,0,0,0,0
"13820",13820,"Dickie Roberts: Former Child Star",2003,98,17000000,5.5,2076,0,0,1,0,0,0,0
"13831",13831,"Die Another Day",2002,133,142000000,6.4,22136,1,0,0,0,0,0,0
"13832",13832,"Die Hard",1988,131,28000000,8,58870,1,0,0,0,0,0,0
"13834",13834,"Die Hard 2",1990,124,70000000,6.7,22987,1,0,0,0,0,0,0
"13836",13836,"Die Hard: With a Vengeance",1995,131,90000000,7,25258,1,0,0,0,0,0,0
"13842",13842,"Die xue jie tou",1990,126,3500000,7.6,1805,1,0,0,1,0,0,0
"13918",13918,"Diner",1982,110,5000000,7.2,3250,0,0,1,1,0,0,0
"13933",13933,"Dinner at Eight",1933,113,435000,7.6,1031,0,0,1,1,0,1,0
"13941",13941,"Dinosaur",2000,82,127500000,6.3,5839,0,1,0,0,0,0,0
"13985",13985,"Dirty Dancing",1987,100,6000000,5.9,14407,0,0,0,1,0,1,0
"14006",14006,"Dirty Pretty Things",2002,97,10000000,7.6,6274,0,0,0,1,0,0,0
"14018",14018,"Dirty Work",1998,82,13000000,5.9,4252,0,0,1,0,0,0,0
"14086",14086,"Disturbing Behavior",1998,84,15000000,5.1,4620,0,0,0,0,0,0,0
"14116",14116,"Divine Secrets of the Ya-Ya Sisterhood",2002,116,27000000,5.5,4288,0,0,1,1,0,0,0
"14192",14192,"Do the Right Thing",1989,120,6500000,7.7,9324,0,0,1,1,0,0,0
"14226",14226,"Doctor Dolittle",1967,145,18000000,5.8,1069,0,0,0,0,0,0,0
"14227",14227,"Doctor Dolittle",1998,85,71500000,5.4,8287,0,0,1,0,0,0,0
"14238",14238,"Doctor Zhivago",1965,200,11000000,7.9,10283,0,0,0,1,0,1,0
"14260",14260,"Dodgeball: A True Underdog Story",2004,92,20000000,6.6,14584,0,0,1,0,0,0,0
"14309",14309,"Dogma",1999,130,10000000,7.3,43391,0,0,1,0,0,0,0
"14408",14408,"Domestic Disturbance",2001,91,53000000,5.4,4445,0,0,0,1,0,0,0
"14442",14442,"Don Juan DeMarco",1995,97,25000000,6.5,6857,0,0,1,1,0,1,0
"14501",14501,"Don't Say a Word",2001,113,50000000,6.2,10098,0,0,0,1,0,0,0
"14578",14578,"Donnie Brasco",1997,127,35000000,7.6,20029,0,0,0,1,0,0,0
